terms,polarity
many,O
that,O
were,O
empty,O
with,O
not,O
reservation,O
sigh,O
on,O
them,O
.,O
,
Service,T-NEG
was,O
slow,O
had,O
to,O
wait,O
to,O
order,O
and,O
get,O
food,O
although,O
not,O
crowded,O
.,O
,
Drinks,T-NEG
way,O
over,O
priced,O
.,O
,
Food,T-NEU
was,O
good,O
not,O
great,O
not,O
worth,O
the,O
wait,O
or,O
another,O
visit,O
,
Great,O
pizza,T-POS
for,O
lunch,O
place,O
.,O
,
Service,T-POS
was,O
quick,O
.,O
,
The,O
pizza,T-POS
was,O
great,O
.,O
,
And,O
it,O
was,O
quick,O
which,O
is,O
very,O
important,O
.,O
,
Have,O
the,O
iced,T-POS
tea,T-POS
.,O
,
It,O
was,O
wonderful,O
.,O
,
Whenever,O
you,O
need,O
a,O
Sushi,O
fix,O
",",O
Mizu,O
will,O
be,O
there,O
with,O
quality,O
fish,T-POS
and,O
great,O
service,T-POS
.,O
,
Delivery,T-POS
is,O
fast,O
too,O
.,O
,
Great,O
friendly,O
service,T-POS
",",O
Fast,O
seating,T-POS
",",O
Fast,O
Delivery,T-POS
",",O
Excellent,O
sushi,T-POS
.,O
,
A,O
little,O
overpriced,O
but,O
worth,O
it,O
once,O
you,O
take,O
a,O
bite,O
.,O
,
Ess-A-Bagel,O
either,O
by,O
Sty-town,O
or,O
midtown,O
is,O
by,O
far,O
the,O
best,O
bagel,T-POS
in,O
NY,O
.,O
,
The,O
bagels,T-POS
always,O
warm,O
",",O
soft,O
on,O
the,O
inside,O
",",O
crispy,O
on,O
the,O
outside,O
and,O
enormous,O
in,O
size,O
.,O
,
They,O
have,O
a,O
huge,O
selection,O
of,O
different,O
cream,T-POS
cheeses,T-POS
and,O
all,O
of,O
their,O
salads,T-POS
are,O
great,O
.,O
,
The,O
lox,T-POS
is,O
always,O
fresh,O
too,O
.,O
,
Highly,O
recommended,O
to,O
all,O
!,O
,
I,O
have,O
to,O
agree,O
with,O
the,O
previous,O
reviewer,O
.,O
,
I,O
do,O
n't,O
get,O
it,O
either,O
.,O
,
Not,O
impressed,O
with,O
the,O
food,T-NEG
.,O
,
Prices,O
too,O
high,O
for,O
this,O
cramped,O
and,O
unappealing,O
resturant,T-NEG
.,O
,
Zero,O
ambiance,T-NEG
to,O
boot,O
.,O
,
Everything,O
we,O
had,O
was,O
good,O
or,O
okbut,O
definitely,O
nothing,O
great,O
.,O
,
The,O
ambience,T-POS
was,O
nice,O
",",O
but,O
service,T-NEG
was,O
n't,O
so,O
great,O
.,O
,
When,O
you,O
add,O
it,O
all,O
together,O
",",O
it,O
just,O
does,O
n't,O
seem,O
worth,O
it,O
to,O
meespecially,O
considering,O
the,O
prices,O
.,O
,
This,O
is,O
the,O
BEST,O
Shabu-Shabu,T-POS
Restaurant,T-POS
in,O
the,O
Try-State,O
Area,O
.,O
,
I,O
have,O
lived,O
in,O
Japan,O
for,O
7,O
years,O
and,O
the,O
taste,O
of,O
the,O
food,T-POS
and,O
the,O
feel,T-POS
of,O
the,O
restaurant,O
is,O
like,O
being,O
back,O
in,O
Japan,O
.,O
,
Thius,O
is,O
a,O
must,O
for,O
anyone,O
who,O
loves,O
Shabu-Shabu,T-POS
.,O
,
The,O
atmosphere,T-POS
is,O
nothing,O
special,O
",",O
but,O
it,O
feels,O
like,O
a,O
Sushi,O
establishment,O
in,O
Tokyo,O
.,O
,
The,O
owner,T-POS
and,O
staff,T-POS
are,O
all,O
Japanese,O
as,O
well,O
and,O
that,O
adds,O
to,O
the,O
entire,O
ambiance,T-POS
.,O
,
Despite,O
a,O
slightly,O
limited,O
menu,T-NEG
",",O
everything,O
prepared,O
is,O
done,O
to,O
perfection,O
",",O
ultra,O
fresh,O
and,O
a,O
work,O
of,O
food,O
art,O
.,O
,
Taxan,T-POS
delicious,O
!,O
,
Arigato,O
Gozimas,O
Yuka,O
!,O
,
This,O
restaurant,O
was,O
recommended,O
by,O
a,O
localas,O
a,O
matter,O
of,O
fact,O
",",O
he,O
made,O
the,O
reservation,O
for,O
us,O
and,O
said,O
we,O
would,O
not,O
be,O
disappointed,O
!,O
.,O
,
We,O
were,O
n't,O
!,O
,
The,O
prices,O
were,O
CHEAP,O
compared,O
to,O
the,O
quality,O
of,O
service,T-POS
and,O
food,T-POS
.,O
,
We,O
liked,O
it,O
so,O
much,O
",",O
that,O
we,O
will,O
always,O
make,O
it,O
a,O
point,O
to,O
dine,O
here,O
when,O
we,O
visit,O
New,O
York,O
.,O
,
Went,O
there,O
for,O
an,O
office,O
lunch,O
.,O
,
The,O
location,T-NEU
and,O
ambience,T-NEU
is,O
Ok,O
but,O
the,O
food,T-POS
is,O
what,O
makes,O
up,O
for,O
it,O
.,O
,
There,O
is,O
a,O
lot,O
of,O
variety,O
even,O
for,O
people,O
who,O
eat,O
vegetarian,O
like,O
me,O
.,O
,
Try,O
green,T-POS
curry,T-POS
with,T-POS
vegetables,T-POS
.,O
,
The,O
quantity,O
is,O
also,O
very,O
good,O
",",O
you,O
will,O
come,O
out,O
satisfied,O
.,O
,
I,O
had,O
the,O
best,O
ravioli,T-POS
ever,O
.,O
,
The,O
wine,T-POS
the,O
service,T-POS
was,O
very,O
good,O
too,O
.,O
,
Moderate,O
prices,O
.,O
,
A,O
little,O
noise,O
but,O
I,O
think,O
that,O
was,O
because,O
of,O
our,O
party,O
!,O
,
Molto,O
bene,O
!,O
,
This,O
quaint,O
and,O
romantic,O
trattoria,T-POS
is,O
at,O
the,O
top,O
of,O
my,O
Manhattan,O
restaurant,O
list,O
.,O
,
The,O
food,T-POS
is,O
delicious,O
",",O
from,O
the,O
specials,T-POS
to,O
the,O
regular,T-POS
menu-fare,T-POS
",",O
the,O
dishes,T-POS
are,O
never,O
a,O
disappointment,O
.,O
,
Although,O
the,O
tables,T-NEG
may,O
be,O
closely,O
situated,O
",",O
the,O
candle-light,T-POS
",",O
food,T-POS
and,O
service,T-POS
overcompensate,O
.,O
,
A,O
guaranteeed,O
delight,O
!,O
,
I,O
have,O
known,O
about,O
this,O
secret,O
for,O
the,O
last,O
13,O
years,O
",",O
Emiliothe,O
Godfather,O
has,O
continued,O
to,O
serve,O
food,T-POS
and,O
wine,T-POS
for,O
the,O
gods,O
at,O
mortal,O
prices,O
.,O
,
If,O
you,O
go,O
",",O
try,O
the,O
marinara/arrabiatta,T-POS
sauce,T-POS
",",O
the,O
mozzarella,T-POS
en,T-POS
Carozza,T-POS
is,O
mmmmmmmm,O
everything,O
is,O
just,O
delicious,O
.,O
,
Check,O
out,O
the,O
secret,O
back,T-POS
room,T-POS
.,O
,
I,O
pray,O
it,O
stays,O
open,O
forever,O
.,O
,
Thank,O
You,O
Emilio,T-POS
.,O
,
Ciao,O
Bella,O
,
The,O
food,T-POS
was,O
authentic,O
.,O
,
I,O
felt,O
as,O
though,O
I,O
were,O
eating,O
in,O
Paris,O
.,O
,
The,O
service,T-POS
was,O
excellent,O
",",O
friendly,O
and,O
attentive,O
.,O
,
The,O
prices,O
are,O
wonderfully,O
low,O
.,O
,
Very,O
good,O
wine,T-POS
choices,T-POS
.,O
,
I,O
ca,O
n't,O
believe,O
people,O
complain,O
about,O
no,O
cheese,O
sticks,O
?,O
,
Who,O
has,O
room,O
for,O
Cheesesticks,O
with,O
the,O
best,O
pizza,T-POS
in,O
NYC,O
!,O
,
Get,O
the,O
pepperoni,T-POS
",",O
YUM,O
",",O
and,O
a,O
family,T-POS
style,T-POS
salad,T-POS
.,O
,
Always,O
great,O
service,T-POS
!,O
,
I,O
go,O
twice,O
a,O
month,O
!,O
,
Fantastic,O
!,O
,
The,O
food,T-POS
is,O
good,O
",",O
I,O
ca,O
n't,O
lie,O
.,O
,
But,O
the,O
staff,T-NEG
was,O
so,O
horrible,O
to,O
us,O
.,O
,
We,O
were,O
planning,O
to,O
get,O
dessert,O
but,O
the,O
waitress,T-NEG
basically,O
through,O
the,O
bill,O
at,O
us,O
before,O
we,O
had,O
a,O
chance,O
to,O
order,O
.,O
,
This,O
place,T-NEG
is,O
pricey,O
",",O
and,O
yes,O
",",O
the,O
food,T-POS
is,O
worth,O
it,O
;,O
but,O
the,O
service,T-NEG
makes,O
you,O
feel,O
like,O
you,O
should,O
be,O
paying,O
a,O
quater,O
of,O
the,O
price,O
.,O
,
Save,O
yourself,O
the,O
time,O
and,O
trouble,O
and,O
skip,O
this,O
one,O
!,O
,
I,O
'll,O
keep,O
this,O
short,O
.,O
,
Amma,T-NEU
is,O
nothing,O
special,O
.,O
,
The,O
two,O
star,O
chefs,O
left,O
quite,O
some,O
time,O
ago,O
to,O
open,O
their,O
own,O
place,O
.,O
,
I,O
ate,O
here,O
a,O
week,O
ago,O
and,O
found,O
most,O
dishes,T-NEG
average,O
at,O
best,O
and,O
too,O
expensive,O
.,O
,
Do,O
n't,O
dine,O
at,O
Tamarind,O
for,O
the,O
vegetarian,T-NEG
dishes,T-NEG
",",O
they,O
are,O
simply,O
not,O
up,O
to,O
par,O
with,O
the,O
non-veg,T-POS
selections,T-POS
.,O
,
Decor,T-POS
is,O
nice,O
though,O
service,T-NEG
can,O
be,O
spotty,O
.,O
,
This,O
place,T-NEU
is,O
always,O
packed,O
.,O
,
I,O
know,O
because,O
I,O
live,O
nearby,O
.,O
,
Most,O
importantly,O
",",O
food,T-POS
is,O
excellent,O
.,O
,
Highly,O
recommended,O
.,O
,
First,O
of,O
all,O
Dal,T-POS
Bukhara,T-POS
Rocks,O
.,O
,
As,O
a,O
student,O
in,O
NYU,O
i,O
need,O
a,O
place,O
to,O
eat,O
after,O
a,O
hard,O
day,O
of,O
work,O
so,O
usually,O
i,O
just,O
go,O
to,O
any,O
indian,O
restraunt,O
near,O
by,O
.,O
,
but,O
ive,O
heard,O
a,O
lot,O
about,O
this,O
for,O
the,O
past,O
2,O
yrs,O
and,O
finally,O
decided,O
to,O
eat,O
here,O
.,O
,
I,O
am,O
happy,O
i,O
did,O
the,O
food,T-POS
was,O
awsome,O
.,O
,
JUST,O
AWSOME,O
.,O
,
and,O
yes,O
Dal,T-POS
Bukhara,T-POS
is,O
so,O
dam,O
good,O
and,O
so,O
are,O
all,O
the,O
kababs,T-POS
.,O
,
They,O
are,O
opening,O
two,O
more,O
places,O
as,O
i,O
saw,O
a,O
flyer,O
there,O
one,O
in,O
Yonkers,O
which,O
is,O
a,O
restraunt,O
and,O
banquet,O
hall,O
and,O
another,O
one,O
in,O
parsipanny,O
new,O
jersey,O
.,O
,
but,O
overall,O
i,O
give,O
it,O
a,O
10,O
,
10,O
,
I,O
have,O
n't,O
been,O
to,O
the,O
other,O
locations,O
.,O
,
Haru,T-NEG
on,T-NEG
Park,T-NEG
S,T-NEG
is,O
simply,O
disgusting,O
.,O
,
The,O
fish,T-NEG
was,O
not,O
fresh,O
and,O
the,O
rice,T-NEG
tasted,O
old,O
and,O
stale,O
.,O
,
Quite,O
frankly,O
",",O
this,O
is,O
some,O
of,O
the,O
worst,O
sushi,T-NEG
I,O
have,O
ever,O
tried,O
.,O
,
Will,O
never,O
be,O
back,O
.,O
,
honestly,O
the,O
worst,O
sushi,T-NEG
my,O
husband,O
and,O
i,O
had,O
in,O
our,O
entire,O
lives,O
.,O
,
believe,O
us,O
",",O
we,O
've,O
been,O
eating,O
sushi,O
for,O
over,O
15,O
yrs,O
.,O
,
not,O
sure,O
why,O
this,O
restaurant,T-NEG
would,O
be,O
rated,O
that,O
highly,O
.,O
,
the,O
all-u-can-eat,T-NEG
sushi,T-NEG
is,O
definitely,O
in,O
very,O
poor,O
quality,O
.,O
,
limited,O
menu,T-NEG
",",O
no-so-fresh,O
ingredients,T-NEG
",",O
thinly-sliced,O
fish,T-NEG
",",O
fall-apart,O
rice,T-NEG
.,O
,
the,O
only,O
things,O
u,O
could,O
really,O
taste,O
are,O
the,O
very,O
salty,O
soy,T-NEG
sauce,T-NEG
even,O
its,O
low,O
sodium,O
",",O
the,O
vinegar-soaked,O
rice,T-NEG
",",O
and,O
the,O
scallion,O
on,O
top,O
of,O
the,O
fish,O
.,O
,
the,O
waitstaffs,T-POS
are,O
nice,O
though,O
.,O
,
wont,O
come,O
back,O
again,O
for,O
sure,O
!,O
,
I,O
have,O
been,O
to,O
Roth's,T-NEG
twice,O
and,O
both,O
times,O
were,O
very,O
disappointing,O
.,O
,
Once,O
for,O
dinner,O
and,O
once,O
for,O
brunch,O
.,O
,
Both,O
times,O
I,O
was,O
extremely,O
dissappointed,O
by,O
the,O
service,T-NEG
",",O
which,O
was,O
boarderline,O
rude,O
.,O
,
They,O
would,O
n't,O
even,O
let,O
me,O
finish,O
my,O
glass,O
of,O
wine,O
before,O
offering,O
another,O
.,O
,
Much,O
of,O
the,O
time,O
it,O
seems,O
like,O
they,O
do,O
not,O
care,O
about,O
you,O
.,O
,
I,O
had,O
their,O
eggs,T-NEG
benedict,T-NEG
for,O
brunch,O
",",O
which,O
were,O
the,O
worst,O
in,O
my,O
entire,O
life,O
",",O
I,O
tried,O
removing,O
the,O
hollondaise,O
sauce,O
completely,O
that,O
was,O
how,O
failed,O
it,O
was,O
.,O
,
This,O
was,O
a,O
great,O
surprise,O
.,O
,
With,O
the,O
theater,O
2,O
blocks,O
away,O
we,O
had,O
a,O
delicious,O
meal,T-POS
in,O
a,O
beautiful,O
room,T-POS
.,O
,
The,O
service,T-POS
was,O
attentive,O
.,O
,
I,O
look,O
forward,O
to,O
eating,O
here,O
again,O
,
Planet,T-POS
Thai,T-POS
is,O
great,O
!,O
,
We,O
love,O
the,O
food,T-POS
",",O
drinks,T-POS
",",O
and,O
atmosphere,T-POS
!,O
,
The,O
svc,T-NEG
can,O
be,O
a,O
bit,O
rude,O
at,O
times,O
",",O
esp,O
if,O
you,O
have,O
big,O
group,O
",",O
but,O
overall,O
the,O
restaurant,T-POS
is,O
a,O
must,O
!,O
,
Try,O
the,O
Pad,T-POS
Thai,T-POS
",",O
it,O
's,O
fabulous,O
and,O
their,O
prices,O
are,O
so,O
cheap,O
!,O
,
Just,O
because,O
it,O
's,O
cheap,O
does,O
NOT,O
mean,O
the,O
portions,T-POS
are,O
small,O
or,O
the,O
food,T-POS
is,O
nasty,O
",",O
IT,O
IS,O
GREAT,O
!,O
,
Just,O
remember,O
",",O
the,O
later,O
you,O
go,O
",",O
the,O
longer,O
you,O
may,O
have,O
to,O
wait,O
.,O
,
It,O
's,O
popular,O
w/the,O
late,O
crowd,O
.,O
,
Also,O
",",O
the,O
sandwiches,T-NEG
nearing,O
$,O
7,O
did,O
n't,O
come,O
with,O
anything,O
like,O
chips,O
or,O
a,O
side,O
.,O
,
Overall,O
",",O
not,O
worth,O
the,O
money,O
.,O
,
Eating,O
in,O
",",O
the,O
atmosphere,T-POS
saves,O
it,O
",",O
but,O
at,O
your,O
desk,O
",",O
it,O
's,O
a,O
very,O
disappointing,O
experience,O
.,O
,
I,O
love,O
Indian,O
food,O
and,O
consider,O
myself,O
to,O
be,O
quite,O
an,O
expert,O
on,O
it,O
.,O
,
Chennai,T-POS
Garden,T-POS
is,O
my,O
favorite,O
Indian,O
restaurant,O
in,O
the,O
city,O
.,O
,
They,O
have,O
authentic,O
Indian,T-POS
at,O
amazin,O
prices,O
.,O
,
This,O
restaurant,O
is,O
VEGETARIAN,O
;,O
there,O
are,O
NO,O
MEAT,O
dishes,T-NEG
whatsoever,O
.,O
,
The,O
seats,T-NEG
are,O
uncomfortable,O
if,O
you,O
are,O
sitting,O
against,O
the,O
wall,O
on,O
wooden,O
benches,O
.,O
,
Patroon,O
features,O
a,O
nice,O
cigar,T-POS
bar,T-POS
and,O
has,O
great,O
staff,T-POS
.,O
,
The,O
food,T-POS
is,O
tasty,O
and,O
portion,T-POS
sizes,T-POS
are,O
appropriate,O
.,O
,
This,O
is,O
a,O
nice,O
restaurant,T-POS
if,O
you,O
are,O
looking,O
for,O
a,O
good,O
place,O
to,O
host,O
an,O
intimate,O
dinner,O
meeting,O
with,O
business,O
associates,O
.,O
,
Not,O
a,O
great,O
place,T-NEG
for,O
family,O
or,O
general,O
dining,O
.,O
,
LLOOVVE,O
THIS,O
PLACE,T-POS
.,O
,
Food,T-POS
is,O
excellent,O
.,O
,
Fish,T-POS
is,O
so,O
very,O
fresh,O
.,O
,
Waitstaff,T-POS
are,O
very,O
friendly,O
.,O
,
Love,O
YUKA,T-POS
.,O
,
Mermaid,T-POS
Inn,T-POS
is,O
an,O
overall,O
good,O
restaurant,O
with,O
really,O
good,O
seafood,T-POS
.,O
,
The,O
menu,T-NEG
is,O
limited,O
but,O
almost,O
all,O
of,O
the,O
dishes,T-POS
are,O
excellent,O
.,O
,
The,O
lobster,T-POS
sandwich,T-POS
is,O
good,O
and,O
the,O
spaghetti,T-POS
with,T-POS
Scallops,T-POS
and,T-POS
Shrimp,T-POS
is,O
great,O
.,O
,
The,O
service,T-POS
is,O
good,O
and,O
ambience,T-POS
is,O
good,O
for,O
a,O
date,O
or,O
group,O
outing,O
.,O
,
The,O
only,O
fallback,O
on,O
this,O
restaurant,T-NEG
is,O
the,O
prices,O
.,O
,
Even,O
though,O
its,O
good,O
seafood,T-POS
",",O
the,O
prices,O
are,O
too,O
high,O
.,O
,
The,O
lobster,T-POS
sandwich,T-POS
is,O
$,O
24,O
and,O
although,O
it,O
was,O
good,O
it,O
was,O
not,O
nearly,O
enough,O
to,O
warrant,O
that,O
price,O
.,O
,
Went,O
to,O
Village,O
last,O
night,O
for,O
my,O
birthday,O
.,O
,
We,O
picked,O
it,O
randomly,O
",",O
without,O
a,O
recommendation,O
from,O
someone,O
who,O
has,O
been,O
there,O
",",O
so,O
we,O
were,O
n't,O
sure,O
what,O
to,O
expect,O
.,O
,
The,O
food,T-POS
was,O
delicious,O
I,O
had,O
a,O
halibut,T-POS
special,T-POS
",",O
my,O
husband,O
had,O
steak,T-POS
",",O
and,O
the,O
service,T-POS
was,O
top-notch,O
.,O
,
When,O
my,O
dessert,O
came,O
",",O
there,O
was,O
a,O
candle,O
in,O
it,O
",",O
not,O
because,O
anyone,O
asked,O
for,O
one,O
",",O
but,O
because,O
the,O
waiter,T-POS
must,O
have,O
seen,O
me,O
opening,O
my,O
birthday,O
card,O
and,O
gift,O
",",O
and,O
said,O
he,O
knew,O
it,O
was,O
a,O
special,O
occassion,O
of,O
some,O
sort,O
.,O
,
Truly,O
the,O
mark,O
of,O
an,O
attentive,O
waiter,T-POS
.,O
,
I,O
highly,O
recommend,O
the,O
restaurant,T-POS
based,O
on,O
our,O
experience,O
last,O
night,O
.,O
,
We,O
ate,O
at,O
this,O
Thai,O
place,O
following,O
the,O
reviews,O
but,O
very,O
unhappy,O
with,O
the,O
foods,T-NEG
.,O
,
We,O
thought,O
that,O
this,O
place,O
is,O
using,O
too,O
much,O
of,O
MSG,O
cooking,O
in,O
the,O
foods,T-NEG
.,O
,
Why,O
?,O
,
They,O
do,O
n't,O
concern,O
much,O
of,O
customer,O
's,O
health,O
",",O
just,O
want,O
to,O
make,O
money,O
.,O
,
please,O
do,O
n't,O
fool,O
us,O
.,O
,
I,O
visit,O
New,O
Green,O
Bo,O
when,O
I,O
have,O
money,O
or,O
when,O
I,O
am,O
broke,O
.,O
,
I,O
recommend,O
the,O
jelly,T-POS
fish,T-POS
",",O
drunken,T-POS
chicken,T-POS
and,O
the,O
soupy,T-POS
dumplings,T-POS
",",O
certainly,O
the,O
stir,T-POS
fry,T-POS
blue,T-POS
crab,T-POS
.,O
,
The,O
food,T-POS
is,O
so,O
cheap,O
and,O
the,O
waiters,T-POS
are,O
nice,O
.,O
,
Of,O
course,O
",",O
it,O
is,O
crowded,O
but,O
who,O
cares,O
.,O
,
Authentic,O
Shanghai,O
style,O
and,O
I,O
can,O
not,O
recommend,O
a,O
better,O
Shanghai,O
place,O
in,O
New,O
York,O
.,O
,
Have,O
frequented,O
ino,O
for,O
several,O
years,O
and,O
the,O
food,T-POS
remains,O
excellent,O
.,O
,
Cheese,T-POS
plate,T-POS
is,O
a,O
varied,O
delight,O
and,O
great,O
bargain,O
at,O
$,O
10,O
.,O
,
The,O
large,O
selection,O
of,O
bruschettas,T-POS
",",O
paninis,T-POS
",",O
tramezzinis,T-POS
keep,O
the,O
palate,O
from,O
stagnating,O
.,O
,
The,O
"asparagus,",T-POS
truffle,T-POS
"oil,",T-POS
parmesan,T-POS
bruschetta,T-POS
is,O
a,O
winner,O
!,O
,
Wine,T-POS
list,T-POS
is,O
extensive,O
without,O
being,O
over-priced,O
.,O
,
Be,O
sure,O
to,O
try,O
the,O
seasonal,O
",",O
and,O
always,O
delicious,O
",",O
specials,T-POS
.,O
,
Definitely,O
a,O
neighborhood,O
favorite,O
.,O
,
I,O
loved,O
this,O
place,T-POS
!,O
!,O
,
I,O
almost,O
hesititate,O
to,O
write,O
a,O
review,O
because,O
the,O
atmosphere,T-POS
was,O
so,O
great,O
and,O
I,O
would,O
hate,O
for,O
it,O
too,O
become,O
to,O
crowded,O
.,O
,
The,O
food,T-POS
was,O
very,O
good,O
",",O
a,O
great,O
deal,O
",",O
and,O
the,O
place,T-POS
its,O
self,O
was,O
great,O
.,O
,
The,O
wait,T-POS
staff,T-POS
is,O
very,O
freindly,O
",",O
they,O
make,O
it,O
feel,O
like,O
you,O
're,O
eating,O
in,O
a,O
freindly,O
little,O
european,O
town,O
.,O
,
I,O
like,O
Cafe,T-POS
Noir,T-POS
do,O
n't,O
get,O
me,O
wrong,O
",",O
it,O
is,O
jsut,O
that,O
the,O
people,T-NEG
who,O
work,O
there,O
are,O
evil,O
and,O
incompetent,O
!,O
!,O
,
The,O
service,T-NEG
was,O
terrible,O
",",O
we,O
had,O
to,O
wait,O
for,O
everything,O
and,O
ask,O
several,O
of,O
different,O
people,O
for,O
the,O
same,O
thing,O
before,O
we,O
were,O
allowed,O
to,O
be,O
served,O
.,O
,
The,O
waitress,T-NEG
",",O
seems,O
to,O
be,O
more,O
concerned,O
of,O
looking,O
good,O
than,O
actually,O
waitress,T-NEG
.,O
,
We,O
did,O
tip,O
",",O
I,O
guess,O
the,O
model/ASPECT0,O
just,O
wanted,O
more,O
and,O
complained,O
to,O
the,O
manager,O
.,O
,
The,O
whole,O
set,O
up,O
is,O
truly,O
unprofessional,O
and,O
I,O
wish,O
Cafe,T-POS
Noir,T-POS
would,O
get,O
some,O
good,O
staff,T-NEG
",",O
because,O
despite,O
the,O
current,O
one,O
this,O
is,O
a,O
great,O
place,O
.,O
,
Salads,T-POS
are,O
a,O
delicious,O
way,O
to,O
begin,O
the,O
meal,O
.,O
,
You,O
should,O
pass,O
on,O
the,O
calamari,T-NEG
.,O
,
It,O
is,O
thick,O
and,O
slightly,O
soggy,O
.,O
,
Decor,T-POS
is,O
charming,O
.,O
,
What,O
a,O
great,O
place,T-POS
.,O
,
I,O
came,O
into,O
the,O
city,O
to,O
try,O
out,O
this,O
restaurant,O
because,O
a,O
friend,O
had,O
recommended,O
it,O
to,O
my,O
husband,O
.,O
,
The,O
ambience,T-POS
was,O
so,O
fun,O
",",O
and,O
the,O
prices,O
were,O
great,O
",",O
on,O
top,O
of,O
the,O
fact,O
that,O
the,O
food,T-POS
was,O
really,O
tasty,O
.,O
,
I,O
was,O
n't,O
thrilled,O
to,O
have,O
to,O
wait,O
on,O
line,O
for,O
thirty,O
minutes,O
",",O
but,O
I,O
guess,O
that,O
's,O
the,O
price,O
you,O
pay,O
for,O
a,O
popular,O
place,O
.,O
,
I,O
would,O
definitely,O
recommend,O
SEA,O
if,O
you,O
like,O
thai,T-POS
cuisine,T-POS
!,O
,
I,O
was,O
here,O
a,O
few,O
weeks,O
back,O
and,O
we,O
had,O
the,O
worst,O
customer,T-NEG
service,T-NEG
experience,O
at,O
a,O
restaurant,O
ever,O
.,O
,
While,O
it,O
is,O
understandable,O
that,O
every,O
place,O
is,O
indeed,O
different,O
",",O
there,O
was,O
not,O
a,O
need,O
to,O
be,O
uncourteous,O
to,O
customers,O
and,O
downright,O
rude,O
.,O
,
The,O
service,O
was,O
poor,O
",",O
restaurant,O
poorly,O
lit,O
",",O
staff,O
not,O
very,O
attentive,O
and,O
I,O
would,O
have,O
rather,O
eaten,O
at,O
a,O
Mcdonald,O
's,O
than,O
this,O
joint,O
.,O
,
Never,O
again,O
!,O
,
I,O
absolutely,O
Loved,O
this,O
place,T-POS
.,O
,
My,O
friends,O
spoke,O
so,O
much,O
about,O
it,O
for,O
months,O
",",O
I,O
finally,O
made,O
the,O
time,O
to,O
come,O
down,O
ear,O
and,O
dine,O
in,O
.,O
,
Excellent,O
atmosphere,T-POS
",",O
delicious,O
dishes,T-POS
good,O
and,O
friendly,O
service,T-POS
.,O
,
this,O
is,O
can,O
became,O
on,O
e,O
of,O
the,O
NY,O
Italian,O
Food,O
fare,O
institutions,O
.,O
,
I,O
think,O
that,O
it,O
is,O
absolutely,O
brilliant,O
and,O
well,O
runned,O
business,O
operation,O
.,O
,
The,O
wine,T-POS
list,T-POS
is,O
also,O
really,O
nice,O
.,O
,
A,O
friend,O
from,O
Seattle,O
and,O
I,O
went,O
on,O
a,O
Thursday,O
night,O
around,O
8,O
",",O
30,O
.,O
,
Everything,O
was,O
wonderful,O
;,O
food,T-POS
",",O
drinks,T-POS
",",O
staff,T-POS
",",O
mileau,T-POS
.,O
,
I,O
have,O
been,O
to,O
Casimir,T-POS
over,O
5,O
times,O
and,O
I,O
have,O
always,O
had,O
a,O
great,O
time,O
there,O
.,O
,
I,O
have,O
tried,O
to,O
make,O
reservations,O
",",O
but,O
both,O
times,O
",",O
the,O
hostess,T-NEG
did,O
n't,O
have,O
my,O
name,O
.,O
,
If,O
the,O
weather,O
is,O
nice,O
",",O
try,O
to,O
snag,O
an,O
outside,T-POS
table,T-POS
.,O
,
The,O
staff,T-POS
has,O
been,O
nice,O
",",O
but,O
they,O
seemed,O
really,O
stressed,O
and,O
the,O
unisex,T-NEG
bathroom,T-NEG
needs,O
to,O
be,O
cleaned,O
more,O
often,O
.,O
,
My,O
boyfriend,O
and,O
I,O
went,O
there,O
to,O
celebrate,O
my,O
birthday,O
the,O
other,O
night,O
and,O
all,O
I,O
can,O
say,O
is,O
that,O
it,O
was,O
magnificent,O
.,O
,
From,O
the,O
spectacular,O
caviar,T-POS
to,O
the,O
hospitable,O
waitstaff,T-POS
",",O
I,O
felt,O
like,O
royalty,O
and,O
enjoyed,O
every,O
second,O
of,O
it,O
.,O
,
Considering,O
we,O
were,O
the,O
last,O
patrons,O
there,O
and,O
it,O
was,O
after,O
the,O
closing,O
time,O
",",O
the,O
waitstaff,T-POS
did,O
not,O
rush,O
us,O
at,O
all,O
and,O
made,O
us,O
feel,O
comfortable,O
and,O
relaxed,O
.,O
,
I,O
highly,O
recommend,O
Caviar,O
Russe,O
to,O
anyone,O
who,O
wants,O
delicious,O
top,O
grade,O
caviar,T-POS
and,O
fantastic,O
service,T-POS
.,O
,
Nice,O
Family,O
owned,O
traditional,O
restaurant,T-POS
.,O
,
Fresh,O
ingredients,T-POS
and,O
everything,O
is,O
made,O
to,O
order,O
.,O
,
I,O
was,O
pleasantly,O
surprised,O
to,O
find,O
this,O
gem,O
in,O
Hoboken,O
.,O
,
Friendly,O
staff,T-POS
that,O
actually,O
lets,O
you,O
enjoy,O
your,O
meal,O
and,O
the,O
company,O
you,O
're,O
with,O
.,O
,
I,O
found,O
the,O
food,T-POS
to,O
be,O
outstanding,O
",",O
particulary,O
the,O
salmon,T-POS
dish,T-POS
I,O
had,O
.,O
,
My,O
friends,O
settled,O
for,O
rice,O
dishes,O
",",O
but,O
we,O
came,O
back,O
the,O
following,O
day,O
to,O
try,O
the,O
dim,T-NEU
sum,T-NEU
",",O
which,O
was,O
goodnot,O
outstanding,O
",",O
but,O
good,O
.,O
,
We,O
ate,O
out,O
in,O
the,O
back,T-POS
patio,T-POS
",",O
